Unternehmen,Standort,Branche,Umsatz,Kontaktperson,Position,LinkedIn,Priorität,Notizen
Kern & Sohn GmbH,Balingen,Messtechnik,50 Mio. €,Albert Sauter,Geschäftsführer,https://www.linkedin.com/company/kern-und-sohn,1,6. Generation Familienunternehmen
Kern & Sohn GmbH,Balingen,Messtechnik,50 Mio. €,Stephan Ade,Head of Sales and Marketing,https://www.linkedin.com/company/kern-und-sohn,1,Direkter Vertriebsverantwortlicher - TOP TARGET
JOTEC GmbH,Hechingen,Medizintechnik,48 Mio. €,Florian Tyrs,Geschäftsführer,https://www.linkedin.com/company/jotec,1,Teil von Artivion (USA)
AKE Knebel GmbH,Balingen,Werkzeugbau,46 Mio. €,Alexander Knebel,Inhaber & Geschäftsführer,https://www.linkedin.com/company/ake-knebel,1,Familienunternehmen - Dipl.-Wirtsch.-Ing.
Medi-Globe Group,Hechingen,Medizintechnik,45 Mio. €,Martin Lehner,CEO,https://www.linkedin.com/company/medi-globe-gmbh,1,Teil von DCC Healthcare
Medi-Globe Group,Hechingen,Medizintechnik,45 Mio. €,Martin Kropf,Global Sales Director,https://www.linkedin.com/company/medi-globe-gmbh,1,TOP TARGET - Verantwortlich für weltweiten Vertrieb
Medi-Globe Group,Hechingen,Medizintechnik,45 Mio. €,Michael Hub,Geschäftsführer DACH,https://www.linkedin.com/company/medi-globe-gmbh,2,Vertrieb Deutschland/Österreich
Mattes & Ammann GmbH,Meßstetten,Textiltechnik,45 Mio. €,Christoph Larsén,Geschäftsführer & Inhaber,https://www.linkedin.com/company/mattes-ammann,1,Familienunternehmen seit 1951
Mattes & Ammann GmbH,Meßstetten,Textiltechnik,45 Mio. €,Werner Moser,Direktor Verkauf,https://www.linkedin.com/company/mattes-ammann,1,TOP TARGET - Sales Director
Lichtgitter GmbH,Stadtlohn (Niederlassung Sulz),Metallbau,40 Mio. €,Hermann Stengel,Geschäftsführer,https://www.linkedin.com/company/lichtgittergroup,2,Strategische Entscheidungen
Lichtgitter GmbH,Stadtlohn (Niederlassung Sulz),Metallbau,40 Mio. €,Heiko Abendroth,Geschäftsführer (CFO),https://www.linkedin.com/in/heiko-abendroth-32a8b516b/,2,Finanzentscheidungen
Alber GmbH,Albstadt,Medizintechnik,38 Mio. €,Ralf Ledda,Geschäftsführer,https://www.linkedin.com/company/alber-gmbh,1,Teil von Invacare (USA)
Acandis GmbH,Pforzheim,Medizintechnik,28 Mio. €,Dr. Andreas Schüßler,CEO & Geschäftsführer,https://www.linkedin.com/company/acandis-gmbh-co-kg,1,Inhabergeführt - TOP 100 Innovator 2024
Acandis GmbH,Pforzheim,Medizintechnik,28 Mio. €,Alexander Hausch,Area Sales Manager,https://www.linkedin.com/company/acandis-gmbh-co-kg,2,Vertriebskontakt
Ergoline GmbH,Bitz,Medizintechnik,25 Mio. €,Philipp Heinzel,CEO,https://www.linkedin.com/company/ergoline-gmbh,1,Neu seit 10/2024
Ergoline GmbH,Bitz,Medizintechnik,25 Mio. €,Dr. Bernhard Budaker,Geschäftsführer,https://www.linkedin.com/company/ergoline-gmbh,2,Neu seit 11/2024
MAFU Automation GmbH,Rosenfeld,Automation,22 Mio. €,Ralph Lehleuter,Geschäftsführer & Gesellschafter,https://www.linkedin.com/company/mafu-automation,1,Langjähriger GF - Unternehmensgruppe 350+ MA
AAT Alber Antriebstechnik GmbH,Albstadt,Antriebstechnik,18 Mio. €,Martin Kober,Geschäftsführer,https://www.linkedin.com/company/aat-alber-antriebstechnik,2,Schwesterunternehmen von Alber GmbH
CompData Computer GmbH,Albstadt,IT-Services,14 Mio. €,Reiner Veit,Geschäftsführender Gesellschafter,https://www.linkedin.com/company/compdata-computer-gmbh,1,IT-Unternehmen - versteht Sales Intelligence Wert
Weinmann GmbH,Seitingen-Oberflacht,Medizintechnik,22 Mio. €,Jochen Weinmann,Geschäftsführer/CEO,https://www.linkedin.com/company/weinmann-gmbh,2,Familienunternehmen seit 1960
Weinmann GmbH,Seitingen-Oberflacht,Medizintechnik,22 Mio. €,Katharina Weinmann,Stellv. Geschäftsführerin,https://www.linkedin.com/company/weinmann-gmbh,2,Auch HR-Verantwortliche
August Wenzler Maschinenbau GmbH,Spaichingen,Sondermaschinen,25 Mio. €,Wolfgang Wenzler,Geschäftsführer,https://www.linkedin.com/company/august-wenzler,2,Teil der Heller Gruppe seit 2009
